filename_tud,index_Rh,index_donor_max,index_donor_min,element_Rh,element_donor_max,element_donor_min,distance_pi_bond_1,distance_pi_bond_1_element_1,distance_pi_bond_1_element_2,distance_pi_bond_1_element_1_idx,distance_pi_bond_1_element_2_idx,distance_pi_bond_2,distance_pi_bond_2_element_1,distance_pi_bond_2_element_2,distance_pi_bond_2_element_1_idx,distance_pi_bond_2_element_2_idx,dihedral_angle_1,dihedral_angle_1_element_1,dihedral_angle_1_element_2,dihedral_angle_1_element_3,dihedral_angle_1_element_4,dihedral_angle_1_index_1,dihedral_angle_1_index_2,dihedral_angle_1_index_3,dihedral_angle_1_index_4,dihedral_angle_2,dihedral_angle_2_element_1,dihedral_angle_2_element_2,dihedral_angle_2_element_3,dihedral_angle_2_element_4,dihedral_angle_2_index_1,dihedral_angle_2_index_2,dihedral_angle_2_index_3,dihedral_angle_2_index_4,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",bite_angle,cone_angle,distance_Rh_max_donor_gaussian,distance_Rh_min_donor_gaussian,buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,buried_volume_Rh_4A,buried_volume_Rh_5A,buried_volume_Rh_6A,buried_volume_Rh_7A,dispersion_p_int_Rh_gfn2_xtb,dispersion_p_int_donor_max_gfn2_xtb,dispersion_p_int_donor_min_gfn2_xtb,sasa_gfn2_xtb,ip_gfn2_xtb,dipole_gfn2_xtb,ea_gfn2_xtb,electrofugality_gfn2_xtb,nucleofugality_gfn2_xtb,nucleophilicity_gfn2_xtb,electrophilicity_gfn2_xtb,HOMO_LUMO_gap_gfn2_xtb,optimization_success_dft,wall_time_dft,cpu_time_dft,sum_electronic_and_free_energy_dft,sum_electronic_and_enthalpy_dft,zero_point_correction_dft,entropy_dft,orbital_occupation_min_donor_Rh_dft,anti_orbital_occupation_min_donor_Rh_dft,orbital_occupation_max_donor_Rh_dft,anti_orbital_occupation_max_donor_Rh_dft,orbital_occupation_min_donor_other_atom_1_dft,orbital_occupation_min_donor_other_atom_1_element_dft,orbital_occupation_min_donor_other_atom_1_index_dft,orbital_occupation_min_donor_other_atom_2_dft,orbital_occupation_min_donor_other_atom_2_element_dft,orbital_occupation_min_donor_other_atom_2_index_dft,orbital_occupation_min_donor_other_atom_3_dft,orbital_occupation_min_donor_other_atom_3_element_dft,orbital_occupation_min_donor_other_atom_3_index_dft,anti_orbital_occupation_min_donor_other_atom_1_dft,anti_orbital_occupation_min_donor_other_atom_1_element_dft,anti_orbital_occupation_min_donor_other_atom_1_index_dft,anti_orbital_occupation_min_donor_other_atom_2_dft,anti_orbital_occupation_min_donor_other_atom_2_element_dft,anti_orbital_occupation_min_donor_other_atom_2_index_dft,anti_orbital_occupation_min_donor_other_atom_3_dft,anti_orbital_occupation_min_donor_other_atom_3_element_dft,anti_orbital_occupation_min_donor_other_atom_3_index_dft,orbital_occupation_max_donor_other_atom_1_dft,orbital_occupation_max_donor_other_atom_1_element_dft,orbital_occupation_max_donor_other_atom_1_index_dft,orbital_occupation_max_donor_other_atom_2_dft,orbital_occupation_max_donor_other_atom_2_element_dft,orbital_occupation_max_donor_other_atom_2_index_dft,orbital_occupation_max_donor_other_atom_3_dft,orbital_occupation_max_donor_other_atom_3_element_dft,orbital_occupation_max_donor_other_atom_3_index_dft,anti_orbital_occupation_max_donor_other_atom_1_dft,anti_orbital_occupation_max_donor_other_atom_1_element_dft,anti_orbital_occupation_max_donor_other_atom_1_index_dft,anti_orbital_occupation_max_donor_other_atom_2_dft,anti_orbital_occupation_max_donor_other_atom_2_element_dft,anti_orbital_occupation_max_donor_other_atom_2_index_dft,anti_orbital_occupation_max_donor_other_atom_3_dft,anti_orbital_occupation_max_donor_other_atom_3_element_dft,anti_orbital_occupation_max_donor_other_atom_3_index_dft,dipole_moment_dft,lone_pair_occupancy_min_donor_dft,lone_pair_occupancy_max_donor_dft,dispersion_energy_dft,nbo_charge_Rh_dft,nbo_charge_min_donor_dft,nbo_charge_max_donor_dft,mulliken_charge_Rh_dft,mulliken_charge_min_donor_dft,mulliken_charge_max_donor_dft,homo_energy_dft,lumo_energy_dft,homo_lumo_gap_dft,hardness_dft,softness_dft,electronegativity_dft,electrophilicity_dft
L1,30,14,1,Rh,P,P,1.3918024300327259,C,C,94,91,1.3899343483164952,C,C,93,90,-5.445910183224798,P,Rh,C,H,1.0,30.0,85.0,89.0,-6.70459031992229,P,Rh,C,H,14.0,30.0,85.0,88.0,0.3493905944905871,0.39149109374199464,0.4027171345132441,0.35963464133027445,0.016343794652260293,0.17354252176041626,0.12508040964801923,0.04439181842505251,0.6824373943289139,0.609439665723573,0.5941888730125297,0.7610424506014357,92.90208319481911,222.16549276295586,2.330337620508453,2.3158971145018508,0.5322982668654491,0.8941425177040626,0.909231736861722,0.5294247718949786,0.5042138374696478,0.45630414077735953,0.37579342263311,55.94872181883447,62.85687409530524,62.39800665370826,826.5935114026648,3.070648063753395,1.9868293362336267,4.7932954021522995,3.4351595258825993,0.41721605997690553,-3.070648063753395,0.36451146212920504,0.06725710413565367,True,1.1064166666666666,31.188944444444445,-3722.02749,-3721.909122,0.853443,0.0003970082173399918,1.88438,0.34486,1.89503,0.32967,1.95551,C,2,1.95526,C,8,1.95704,C,17,0.05653,C,2,0.05084,C,8,0.06549,C,17,1.94377,C,15,1.95878,C,51,1.95879,C,68,0.06460,C,15,0.04261,C,51,0.04736,C,68,6.35820501163654,1.09516,1.14021,-4.660218410403284,-0.30116,1.14475,1.11019,-0.678155,0.408673,0.357087,-8.437162048603,-4.2642961511854995,4.1728658974175,2.08643294870875,0.4792869095644215,6.35072909989425,9.665242327869706
L10,28,27,22,Rh,P,P,1.390870556233397,C,C,92,89,1.3948849194883424,C,C,91,88,-12.6671855598518,P,Rh,C,H,27.0,28.0,83.0,86.0,-14.584465530679925,P,Rh,C,H,22.0,28.0,83.0,87.0,0.3022805030086017,0.4072001502877669,0.4178683046515202,0.3096753442671479,0.055669093662296554,0.2013742222323426,0.08678549267631772,0.05659700676864223,0.5488919123549069,0.6130260783431912,0.532565195857978,0.7791396025343983,93.74008282874667,235.5165479890133,2.4091862785955347,2.3186445766130266,0.5432992452478569,0.9435333581811405,0.9109963194185613,0.548014555272795,0.5252849957428022,0.455825661027711,0.35927884642753455,53.9558182508414,65.84819793786639,64.0735266114102,850.3589440603794,3.794403970118884,4.503741801938704,5.464230513865217,4.560709060089172,0.14807457610507027,-3.794403970118884,0.7663050899702869,0.06647333002016398,True,0.9591666666666666,29.645722222222222,-4240.461188,-4240.327555,0.786789,0.0004482072782169133,,0.36013,,0.32700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.688575054320875,1.10067,1.19324,-4.629263315651767,-0.26304,1.13823,1.02818,-0.618473,0.390775,0.357137,-8.7057384190465,-4.6278402554535,4.077898163593001,2.0389490817965004,0.4904487360316564,6.66678933725,10.899261895277258
L11,28,27,22,Rh,P,P,1.3913436209527825,C,C,106,103,1.3949063346497497,C,C,105,102,-12.394261233027056,P,Rh,C,H,27.0,28.0,97.0,100.0,-14.012616696824985,P,Rh,C,H,22.0,28.0,97.0,101.0,0.30338489038670635,0.4414333126497897,0.46518048763826186,0.3150578095557972,0.05642622521532707,0.22438419018233777,0.08859008442301451,0.09246682568326853,0.5503435555580857,0.6584824351172416,0.5415255346885799,0.8378941495932553,93.79166470032364,238.14305838951412,2.4047164338353912,2.324243182087451,0.5449124114796869,0.9453736489004846,0.9114913343272456,0.5497796536527838,0.5317003563432248,0.4702356115923625,0.38115667499701134,54.90898250035952,68.30648513281717,63.394821315528425,897.3832549175639,3.013197154463544,1.0013658946807487,4.775736334585428,3.364298482925872,0.42136499387689974,-3.013197154463544,0.35110132846232767,0.06841960417085677,True,1.30475,40.41308333333333,-3952.929188,-3952.78795,0.951206,0.0004737145732019374,,0.35931,,0.32556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.575894505816982,1.09275,1.19476,-5.102784708835382,-0.2616,1.14665,1.0258,-0.599091,0.385846,0.350392,-8.308724311167,-4.17422646667,4.134497844496999,2.0672489222484995,0.48373468199094416,6.2414753889185,9.422187771200717
L12,28,27,22,Rh,P,P,1.3893350799389612,C,C,80,77,1.396700146806393,C,C,79,76,-13.693752349815975,P,Rh,C,H,27.0,28.0,71.0,74.0,-14.493523565037261,P,Rh,C,H,22.0,28.0,71.0,75.0,0.29992087121363065,0.3573177049236322,0.3839937835514593,0.3075092648992674,0.05147356016918759,0.1399896392524322,0.08408145141549445,0.03838030774835907,0.5483681822580737,0.5746457705948321,0.5309370783830403,0.7296072593545595,92.66720313483638,233.6140780105768,2.412012760907579,2.294493279772246,0.5291942322027581,0.9491241147968692,0.8951209001118151,0.5341420458072125,0.5147760240925862,0.4431198693818314,0.3370800908557864,51.546462279241304,63.89934825161956,56.62301161254281,714.7939949904928,3.1707778067159644,1.2858771567346945,4.696420763188959,3.514402026910513,0.49320345700558976,-3.1707778067159644,0.34362422019454864,0.06904759199746846,True,0.6495,20.153805555555554,-3563.144053,-3563.032977,0.71542,0.0003725507294990414,,0.36560,,0.32562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14637305726342,1.10133,1.19677,-4.005088222511415,-0.25499,1.11911,1.02342,-0.528111,0.410582,0.358566,-8.530224985474,-4.3600802265615,4.1701447589125,2.08507237945625,0.47959965795565446,6.44515260601775,9.961283004883095
L13,14,1,2,Rh,P,P,1.3941471986895786,C,C,106,103,1.3866772077397824,C,C,105,102,-4.1726926729509515,P,Rh,C,H,1.0,14.0,97.0,101.0,-16.5421556041304,P,Rh,C,H,2.0,14.0,97.0,100.0,0.5591188810392627,0.3689706995781696,0.40674473281225987,0.46587499928841025,0.24713229308391635,0.18804187563687288,0.2259895367835002,0.08445717083278778,0.871105468994609,0.5498995235194662,0.7057604617933202,0.7290322947917319,89.04032673942233,232.18193859195802,2.3486783267159,2.295457712342791,0.5563559914275065,0.9444767983600447,0.8936183842713381,0.5615728384333685,0.5565852543281511,0.5220384144405642,0.45025062192949,59.720441108896615,72.49104841238649,57.27925031372004,958.0755111204161,3.347389944690079,2.3131418981840515,5.411459546527449,4.035329115950135,0.12247962473260748,-3.347389944690079,0.6879391712600563,0.06652665790168952,True,1.5983055555555554,49.700916666666664,-4178.450467,-4178.306001,0.917065,0.0004845413382516801,1.87212,0.33429,1.87489,0.34656,1.94665,C,3,1.95617,C,19,1.95526,C,27,0.06568,C,3,0.04345,C,19,0.06402,C,27,1.95659,C,5,1.95119,C,63,1.94787,C,80,0.06019,C,5,0.05187,C,63,0.06677,C,80,8.085711093651565,1.11275,1.11238,-5.6418810337841325,-0.30882,1.13916,1.10354,-0.714235,0.355563,0.368731,-8.268451461293001,-4.106742231746,4.161709229547001,2.0808546147735005,0.4805717770478882,6.187596846519501,9.199670765856343
L14,30,1,14,Rh,P,P,1.3900111823456673,C,C,114,111,1.3887354386293307,C,C,113,110,-2.975224360264605,P,Rh,C,H,1.0,30.0,105.0,109.0,-2.385749524924326,P,Rh,C,H,14.0,30.0,105.0,108.0,0.4479230116757655,0.40162413257202717,0.3935689359739956,0.4518424483243483,0.06686667084132686,0.20781268679232393,0.23572408532246403,0.05672793929285051,0.8289793525102042,0.5954355783517303,0.6679608113262325,0.7304099326551408,92.49861132532003,233.75073912787903,2.309266676547557,2.2983040381094053,0.5283381475959746,0.9032333209094298,0.8954179090570257,0.5284355409347651,0.5177127022168964,0.4851512540251259,0.4237531523428383,54.95976997007018,59.16242903635556,62.19689309337347,1041.5042049338676,3.017956553104689,0.4395737923357641,5.087544863850741,3.4962875193054055,0.23678610234997674,-3.017956553104689,0.4783309662007172,0.06492725774621236,True,1.6146111111111112,50.148916666666665,-4257.240846,-4257.076608,0.996471,0.0005508569511970028,1.88733,0.33364,1.88540,0.34065,1.94013,C,15,1.95686,C,35,1.95656,C,43,0.07865,C,15,0.04393,C,35,0.05438,C,43,1.95566,C,2,1.95550,C,8,1.95751,C,17,0.05752,C,2,0.05058,C,8,0.06581,C,17,7.224201651393737,1.12314,1.08815,-5.39567586681308,-0.30927,1.12745,1.15748,-0.540542,0.317014,0.402299,-8.1408300654085,-4.044428159981501,4.0964019054269984,2.0482009527134992,0.4882333438402024,6.0926291126950005,9.061642475969252
L15,14,1,2,Rh,P,P,1.3895275079857181,C,C,82,79,1.3883313202920984,C,C,81,78,18.526955746647914,P,Rh,C,H,1.0,14.0,73.0,77.0,-0.3907015775246272,P,Rh,C,H,2.0,14.0,73.0,76.0,0.4435253866779003,0.3890233002965906,0.37029425661636206,0.3175796838264176,0.10783716548163244,0.19093377660634286,0.035112687361595785,0.053454626187643385,0.7792136078741682,0.5871128239868384,0.6000466802912394,0.6871338870450806,89.20900939663116,214.8361366621014,2.305821449588194,2.3321680417913715,0.5296077152441298,0.9034313268729035,0.9211761554230339,0.5339441996151698,0.5202571662829932,0.4701505737221643,0.3802131069149451,51.22551077824443,60.66121485082106,58.661929260073556,777.3348011248416,3.2544747078271605,0.2811970705817642,5.111446258741245,3.772613118933486,0.25269215236508097,-3.2544747078271605,0.5181384111063262,0.0695338529969996,True,0.8322499999999999,24.445083333333333,-3789.009834,-3788.89222,0.70844,0.00039447928894776403,1.88829,0.34524,1.88593,0.34183,1.93911,C,3,1.95773,C,19,1.95379,C,26,0.07949,C,3,0.04327,C,19,0.05719,C,26,1.95817,C,5,1.95956,C,45,1.95892,C,53,0.06089,C,5,0.06738,C,45,0.06385,C,53,6.615424943267061,1.1244,1.11189,-4.32441476486595,-0.31093,1.09396,1.1005,-0.585392,0.273516,0.426495,-8.548184499607,-4.3247054259965,4.2234790736105,2.11173953680525,0.47354324838415074,6.43644496280175,9.808933118203157
L16,28,22,27,Rh,P,P,1.397217916362727,C,C,86,83,1.3802030761587223,C,C,85,82,-0.9875405964884203,P,Rh,C,H,27.0,28.0,77.0,80.0,1.8356260802064026,P,Rh,C,H,22.0,28.0,77.0,81.0,0.3906144151016435,0.3610521282227902,0.36223336729988675,0.30276723043554993,0.08376265918263949,0.15406203924560094,0.06252881938712193,0.0645041926871339,0.6974661710206475,0.5680422171999795,0.5430056414839779,0.6599625419126396,90.38146434755649,226.42809609730227,2.4477265390353553,2.2954980117166293,0.5344355665300037,0.9590302366753634,0.8959362187849422,0.538870957730743,0.5189031408659456,0.4521168760488004,0.35410487695189086,51.39341451805673,72.58641159776872,60.39730249104187,750.7441762699855,3.1719088710135726,1.1495444066409959,4.935110971709995,3.603102009600406,0.342082166876838,-3.1719088710135726,0.43119313858683295,0.0665227501670311,True,1.0033888888888889,31.19511111111111,-3567.500346,-3567.386412,0.776421,0.0003821365084687976,,0.54837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32906343450867,1.12219,1.17481,-4.3982444961404985,-0.25826,1.13942,1.03538,-0.547111,0.357513,0.358472,-8.549272955009,-4.284160462272,4.265112492737,2.1325562463685,0.46892080886630116,6.4167167086405,9.653732085393111
L17,49,1,2,Rh,P,P,1.3887270292552096,C,C,93,90,1.3999454239973073,C,C,92,89,24.180994571371254,P,Rh,C,H,1.0,49.0,84.0,87.0,6.023959169856716,P,Rh,C,H,2.0,49.0,84.0,88.0,0.539157363815943,0.3825791430181654,0.37706859156452976,0.3767469529724529,0.33850611682596793,0.19580674359426858,0.10880492761708499,0.16431462516295403,0.7398086108059182,0.5693515424420623,0.6446889783278209,0.5898225579661056,98.31465224243374,231.6444660928643,2.3873693095474353,2.3468283826211067,0.5963881382780469,0.9062325288855758,0.8763161572866195,0.6021002731053318,0.5830764561193277,0.5114857816681029,0.41893213141071256,65.88771018629646,64.79215063659811,50.73723378903375,884.5560349269872,3.5150834780082647,1.4288704961471936,5.565897949904763,4.31713523425327,0.0821538063402412,-3.5150834780082647,0.8020517562450045,0.0766251855720323,True,1.7531944444444445,53.99872222222222,-2866.358221,-2866.231472,0.79631,0.00042511822907938284,1.88442,0.57087,1.89843,0.25658,1.93829,N,4,1.94873,C,27,1.94844,C,28,0.08594,N,4,0.08544,C,27,0.07047,C,28,1.93327,N,3,1.94458,C,25,1.94742,C,26,0.09954,N,3,0.07447,C,25,0.08880,C,26,6.211881217473495,1.12166,1.15419,-5.256909318916232,-0.25785,1.31822,1.27017,-0.597744,0.562925,0.579856,-8.3835556200545,-4.212594519590501,4.170961100463999,2.0854805502319995,0.47950579059044923,6.2980750698225005,9.509978307087803
L18,28,22,27,Rh,P,P,1.3895305514032428,C,C,92,89,1.3859122595875255,C,C,91,88,6.309167013078221,P,Rh,C,H,22.0,28.0,83.0,87.0,11.0980619966572,P,Rh,C,H,27.0,28.0,83.0,86.0,0.3827328464161491,0.40320386194019237,0.38294632335779305,0.31339553577019635,0.07882707229183152,0.1972697722343351,0.07101666258688512,0.09387861985734049,0.6866386205404666,0.6091379516460496,0.5557744089535076,0.6720140268582456,91.21224190338052,228.23497671176585,2.454387840755002,2.3413928706011724,0.5800992359299292,0.959437896011927,0.929573937756243,0.5866255974179132,0.5595712055753524,0.47709986847476077,0.37057604617933204,55.071153038356584,0.0,60.9789986177491,755.5642093132544,3.1659401276165013,1.1113739781480325,4.908912597091725,3.5859126308935116,0.3570599061852843,-3.1659401276165013,0.4199725032770095,0.06553490511383236,True,0.9417222222222221,29.157416666666666,-3645.919826,-3645.801467,0.832854,0.0003969780311925372,,0.26381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4978534146857205,1.14113,1.17154,-4.775244241192918,-0.2708,1.08237,1.04551,-0.664888,0.332655,0.356907,-8.499748234218002,-4.2395337907899995,4.260214443428002,2.130107221714001,0.469459936009862,6.369641012504001,9.523540931316658
